LONG H (cm),1967,1968,1973,1974,1977,1978,1979,1980,1981,1982,1983,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
48,,23,31,92,15,15,8,2,7,83,,31,49,,,11,33,90,18,,13,19,86,13,1,3,2,,49,5,97,41,52,206,108,161,98,696,21,120,263,331,8,414
49,1,22,45,102,14,23,2,1,9,79,,32,40,,,13,31,117,14,4,10,43,85,22,1,7,,1,33,2,92,45,73,164,96,179,78,682,32,84,216,310,11,492
50,4,34,42,93,18,32,2,1,16,96,2,35,42,,,32,40,107,11,10,10,35,62,20,3,13,1,1,30,1,78,29,60,184,91,164,63,774,51,63,219,318,10,615
51,6,24,61,67,19,39,3,1,12,81,3,33,42,,,61,40,111,17,14,8,35,50,21,3,13,,,16,6,58,38,58,148,51,112,68,751,50,51,273,283,15,732
52,9,44,53,55,18,30,2,,11,71,2,19,26,,,72,55,113,19,21,1,40,28,12,7,15,,2,27,2,55,31,43,105,66,110,101,930,131,58,381,229,13,932
53,7,37,58,29,16,20,1,,11,61,5,15,14,,,80,76,116,26,26,,38,31,20,7,5,,4,13,5,58,63,26,124,98,91,71,1035,137,94,463,99,12,1103
54,3,65,57,23,9,21,2,,9,50,2,11,6,,,102,70,119,22,41,1,37,19,7,13,5,,3,8,6,47,60,31,145,127,78,77,793,118,155,542,62,22,1247
55,3,77,73,15,15,12,1,,6,20,5,4,6,,,94,71,128,28,26,,64,22,3,12,1,,11,2,2,41,65,32,174,132,65,54,661,132,185,581,45,5,1473
56,4,84,49,17,16,19,1,,3,15,6,2,2,,,57,44,120,33,26,,51,20,2,3,1,,14,2,3,45,81,41,199,160,68,58,444,129,178,678,18,9,1904
57,,95,54,13,17,9,,,2,11,8,3,9,,,56,36,109,22,17,,47,19,3,2,,,20,,6,15,61,42,307,171,71,33,272,134,146,760,25,3,2014
58,,90,52,16,18,8,,,3,8,19,0,5,,,32,25,93,9,15,,36,17,3,2,,,17,2,3,23,53,36,383,150,67,41,154,142,113,889,7,6,1716
59,,68,46,5,14,1,,,1,5,16,0,9,,,27,23,65,3,13,,28,15,1,1,,,11,1,6,18,68,41,400,118,67,38,96,136,55,820,11,3,1289
60,2,58,17,10,26,1,1,,3,3,17,0,22,,,18,21,38,,5,,10,8,,,,,3,6,3,7,64,27,391,81,51,36,73,135,35,763,7,6,807
61,7,56,35,7,10,7,,,2,1,9,0,39,,,14,8,30,,4,,10,6,,,,,,2,2,10,52,31,263,85,34,32,53,112,31,541,,1,475
62,7,45,22,4,10,2,,,,4,14,0,17,,,15,13,18,,6,,14,4,,,,,,8,1,13,74,11,187,111,35,38,34,99,19,355,,1,256
63,2,35,6,3,7,,,,,1,9,0,17,,,9,10,6,,1,,2,5,,,,,1,,2,8,73,16,118,123,22,29,30,88,14,227,,,150
64,3,30,9,,2,1,,,,,4,0,18,,,6,4,6,,1,,2,5,,,,,,2,2,11,92,6,75,127,9,17,19,65,10,153,,,61
65,,13,8,,3,,,,,,9,0,7,,,4,2,1,,2,,,0,,,,,,2,5,4,53,13,44,107,8,31,18,64,9,91,,,26
66,2,8,4,,1,,,,,,2,,4,,,2,1,1,,1,,,0,,,,,,1,,6,33,4,26,98,3,14,9,28,1,37,,,12
67,,7,4,,1,,,,,,2,,0,,,2,1,3,,1,,,,,,,,,2,,2,24,5,11,71,6,9,7,19,1,33,,,6
68,,2,2,1,1,,,,,,1,,0,,,,,1,,,,,,,,,,,,,1,18,5,13,41,7,6,3,8,,16,,,1
69,,2,,2,,,,,,,0,,0,,,1,,1,,1,,,,,,,,,,,,3,1,6,25,1,3,2,2,,2,,,
70,,2,2,1,,,,,,,2,,0,,,,,0,,1,,,,,,,,,,1,,4,0,5,14,2,0,2,4,,3,,,
71,,,,,,,,,,,2,,0,,,,,,,,,,,,,,,,,,,0,0,1,2,,0,,1,,0,,,
72,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,1,,,
73,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,0,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
76,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
