FUENTE,AÑO,MES,DIA,ARTE_PESCA,TIPO,PUERTO,EMBARCACION,MATRICULA,CB,LONGITUD,LATITUD,ESPECIE_CAPTURA,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,Total general
SEGUIMIENTO,2019,3,8,CORTINA,MENOR ESCALA,PUCUSANA,ADRIAN JESUS II,CO-57921-BM,10,-77.16666667,-12.91666667,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1,,1,,2,3,,2,1,,,,,,,1,,2,4,6,9,7,11,7,9,6,11,4,1,2,,1,,1,,,,,,,,,,,92
SEGUIMIENTO,2011,7,17,CERCO,INDUSTRIAL,CALLAO                                                      ,ADRIANA                                                                                                                 ,CO-17997-PM,403.5,-78.446,-13.849,3041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,6,0,5,7,4,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
SEGUIMIENTO,2011,7,25,CERCO,INDUSTRIAL,CALLAO                                                      ,ADRIANA                                                                                                                 ,CO-17997-PM,403.5,-77.917,-13.493,3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,5,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
SEGUIMIENTO,2011,8,10,CERCO,INDUSTRIAL,CALLAO                                                      ,ADRIANA                                                                                                                 ,CO-17997-PM,403.5,,,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
SEGUIMIENTO,2011,8,11,CERCO,INDUSTRIAL,CALLAO                                                      ,ADRIANA                                                                                                                 ,CO-17997-PM,403.5,-79.92,-12.463,24975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
SEGUIMIENTO,2018,2,22,CERCO,MED. ESC.,,ADRIANO GERARD,MO-32832-BM,10,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,14,13,19,11,22,34,26,10,14,6,6,4,,,,,,,,,,,,,,,,,,195
SEGUIMIENTO,2018,12,19,CERCO,MED. ESC.,,ADRIANO GERARD,MO-32832-BM,10,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,16,42,26,14,9,13,6,4,8,6,,,,,,,,,,,,,,,,,150
SEGUIMIENTO,1998,7,6,CERCO,INDUSTRIAL,SALAVERRY                                                   ,AGUILA REAL                                                                                                             ,CO-10555-PM,497,,,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,12,19,18,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
SEGUIMIENTO,1993,6,14,CERCO,INDUSTRIAL,SAN JOSE                                                    ,AGUSTINA 1                                                                                                              ,PL-17785-BM,50,,,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,18,16,11,12,5,2,0,0,1,0,1,0,0,0,0,0,0,0,78
SEGUIMIENTO,2019,12,13,,MENOR ESCALA,LOMAS,AKIMSHU,PT-51299-BM,12,-74.69,-15.97,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,9,5,21,39,28,16,5,7,0,3,2,,,,,,,,,,,,,143
SEGUIMIENTO,2020,2,14,CORTINA AGALLERA,ARTESANAL,,ALDAIR,CO-35269-BM,5.18,-77.5,-12.75,2500,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,9,18,62,41,20,10,2,,,,,,,,,,,,,,,,171
SEGUIMIENTO,2007,2,19,CERCO,INDUSTRIAL,ILO                                                         ,ALEJANDRIA I                                                                                                            ,CE-21260-PM,350.88,-71.51666667,-17.73333333,3039,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SEGUIMIENTO,2019,8,17,CERCO,MENOR ESCALA,CALLAO,ALEJANDRITO,PL-44552-CM,20,-77.03333333,-13.86666667,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
SEGUIMIENTO,2020,2,5,CORTINA AGALLERA,ARTESANAL,,ALEJANDRO Y ANDRES I,SY-52897-CM,,-79.7,-7.216666667,1500,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,4,19,14,10,8,2,5,,,,,,,,,,,,,,,,,,,,,74
SEGUIMIENTO,2021,5,11,CERCO,ARTESANAL,,ALESANDRA I,IO-62064-CM,,-70.77,-18.28,20000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,7,11,19,24,20,8,3,1,,,,,,,,,,,,,104
SEGUIMIENTO,2020,9,10,CERCO,ARTESANAL,,ALESHKA                                                     ,PL-12809-CM,28,-73,-17.10833333,10800,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,7,12,10,25,18,10,14,8,6,4,6,1,,,,,,,,,,,,,,124
SEGUIMIENTO,2020,9,21,CERCO,ARTESANAL,,ALESHKA                                                     ,PL-12809-CM,28,,,13565,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,0,0,0,0,0,2,3,5,4,6,10,9,14,23,17,12,10,5,6,3,1,,,,,,,,,,,136
